项目,2025年度,2024年度,2023年度
营业收入,"13,187.36","14,254.00","13,968.89"
减：营业成本,"9,901.86","10,427.29","10,105.43"
税金及附加,856.24,833.48,837.19
销售费用,465.47,524.55,498.42
管理费用,718.42,551.02,449.11
财务费用,"1,662.82","2,061.74","2,575.98"
其中：利息费用,"1,679.44","2,128.37","2,590.14"
利息收入,17.22,67.32,15.08
信用减值损失,-,51.90,-
加：投资收益,46.12,-,-
其他收益,-,47.74,26.68
公允价值变动收益,1.45,-,-
营业利润,-369.87,-148.25,-470.55
加：营业外收入,1.24,5.44,5.78
减：营业外支出,1.42,8.71,0.17
亏损总额,-370.05,-151.52,-464.94
减：所得税费用,-,-,-
净亏损,-370.05,-151.52,-464.94
综合亏损总额,-370.05,-151.52,-464.94
