"成本费用类
型",2025年度,,2024年度,,2023年度,
,金额,占比,金额,占比,金额,占比
折旧费用,"5,421.06",48.90%,"5,566.96",48.40%,"5,347.67",48.38%
劳务支出,"1,312.98",11.84%,"1,279.21",11.12%,"1,088.16",9.84%
加盟服务费,"1,176.36",10.61%,"1,332.71",11.59%,"1,017.58",9.21%
"酒店运营耗
材",680.46,6.14%,760.08,6.61%,863.63,7.81%
能源费,462.47,4.17%,495.06,4.30%,534.90,4.84%
资产管理费,434.61,3.92%,275.47,2.39%,274.67,2.49%
销售代理费,465.47,4.20%,524.55,4.56%,482.20,4.36%
清洁费,201.86,1.82%,262.51,2.28%,360.02,3.26%
维保费,116.22,1.05%,79.15,0.69%,69.78,0.63%
专业服务费,93.32,0.84%,94.43,0.82%,27.12,0.25%
物业费,378.93,3.42%,421.04,3.66%,467.05,4.23%
IT服务费,47.16,0.43%,70.33,0.61%,70.13,0.63%
办公费,8.90,0.08%,11.00,0.10%,11.84,0.11%
项目管理费,11.10,0.10%,10.94,0.10%,13.93,0.13%
其他,274.87,2.48%,319.41,2.78%,424.29,3.84%
合计,"11,085.75",100.00%,"11,502.87",100.00%,"11,052.96",100.00%
