成本费用类型,2025年度,,2024年度,,2023年度,
,金额,占比,金额,占比,金额,占比
折旧费用,802.04,32.53%,802.26,33.19%,801.23,34.47%
劳务支出,446.09,18.09%,440.07,18.20%,402.78,17.33%
加盟服务费,345.42,14.01%,318.79,13.19%,255.68,11.00%
酒店运营耗材,269.04,10.91%,297.08,12.29%,284.17,12.22%
能源费,147.24,5.97%,133.40,5.52%,144.10,6.20%
资产管理费,130.77,5.30%,83.69,3.46%,83.69,3.60%
销售代理费,94.42,3.83%,72.81,3.01%,114.82,4.94%
清洁费,81.67,3.31%,79.57,3.29%,81.13,3.49%
维保费,40.35,1.64%,62.28,2.58%,52.63,2.26%
专业服务费,37.69,1.53%,55.47,2.29%,28.86,1.24%
物业费,34.90,1.42%,34.19,1.41%,31.66,1.36%
IT服务费,11.13,0.45%,8.01,0.33%,10.11,0.43%
办公费,2.56,0.10%,4.98,0.21%,1.85,0.08%
项目管理费,0.49,0.02%,2.76,0.11%,2.91,0.13%
其他,21.63,0.88%,21.97,0.91%,29.13,1.25%
合计,"2,465.42",100.00%,"2,417.33",100.00%,"2,324.74",100.00%
